source_doc,element,index,text
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,32,"Gu, D., and Dupre, M.E. (2008). Assessment of Reliability of Mortality and Morbidity in the 1998-2002 CLHLS Waves. In Y. Zeng, D. L. Poston, D.A. Vlosky, and D. Gu (eds.). Healthy Longevity in China: Demographic, Socioeconomic, and Psychological Dimensions. Pp 99-115. Dordrecht, The Netherlands: Springer Publisher."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,33,"Zeng, Y., and Gu, D. (2008). Reliability of Age Reporting among the Chinese Oldest-old in the CLHLS Datasets. In Y. Zeng, D. L. Poston, D.A. Vlosky, and D. Gu (eds.). Healthy Longevity in China: Demographic, Socioeconomic, and Psychological Dimensions. Pp 61-78.Dordrecht, The Netherlands: Springer Publisher."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,paragraph,36,"Specification of the coding system for the 1998-2018 longitudinal dataset (including the 1998, 2000, 2002, 2005, 2008, 2011, 2014, and 2018 surveys of both survivors and deceased persons)"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,2,id | 1 | id= province code +given no. + year of the wave of the very first interview | Scale | F12
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,3,year9899 | 2 | the year of the first interview took place | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,4,month98 | 3 | month of the interview of the 1998 survey | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,5,date98 | 4 | day of the interview of the 1998 survey | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,6,v_bthyr | 5 | validated birth year | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,7,v_bthmon | 6 | validated birth month | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,12,trueage | 11 | validated age based on the 1998 survey's information | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,21,a42 | 20 | was the place of birth an urban area or a rural area at time of birth? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,28,a53a2 | 27 | age of 1st person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,32,a53b2 | 31 | age of 2nd person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,36,a53c2 | 35 | age of 3rd person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,40,a53d2 | 39 | age of 4th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,44,a53e2 | 43 | age of 5th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,48,a53f2 | 47 | age of 6th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,52,a53g2 | 51 | age of 7th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,56,a53h2 | 55 | age of 8th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,60,a53i2 | 59 | age of 9th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,64,a53j2 | 63 | age of 10th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,68,a53k2 | 67 | age of 11th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,72,a53l2 | 71 | age of 12th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,75,a54a | 74 | year of being admitted to the nursing home | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,76,a54b | 75 | month of being admitted to the nursing home | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,84,b26 | 83 | feel useless with age | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,86,c11 | 85 | what time of day is it right now? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,87,c12 | 86 | what month is it right now? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,88,c13 | 87 | what is the date of the mid-autumn festival? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,116,d2 | 115 | amount of staple food per day (liang) | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,122,d4meat1 | 121 | how often ate meat at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,125,d4fish1 | 124 | how often ate fish at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,128,d4egg1 | 127 | how often ate eggs at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,131,d4bean1 | 130 | how often ate food made from bean at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,134,d4veg1 | 133 | how often ate salt-preserved vegetables at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,137,d4suga1 | 136 | how often ate sugar at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,140,d4tea1 | 139 | how often drank tea at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,143,d4garl1 | 142 | how often ate garlic at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,147,d5b | 146 | water you drank at around age 60 was from | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,154,d63 | 153 | age when starting to smoke | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,156,d64 | 155 | age when quitting smoking if not smoke at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,158,d65 | 157 | times smoke (or smoked) per day | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,164,d73 | 163 | age when starting to drink | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,166,d74 | 165 | age when quitting drinking if not drink at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,170,d76 | 169 | how much per day if drink( or drank)? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,176,d83 | 175 | age when starting to exercise | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,178,d84 | 177 | age when quitting exercising if not exercise at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,182,d92 | 181 | age when starting to do physical labor | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,184,d93 | 183 | age when stopping doing physical labor | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,214,f1 | 213 | years of schooling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,216,f2 | 215 | main occupation before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,226,f43a1 | 225 | age at the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,227,f43a2 | 226 | current status of the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,228,f43a3 | 227 | age at the 1st marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,229,f43a4 | 228 | quality of the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,231,f43b1 | 230 | age at the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,232,f43b2 | 231 | current status of the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,233,f43b3 | 232 | age at the 2nd marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,234,f43b4 | 233 | quality of the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,236,f43c1 | 235 | age at the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,237,f43c2 | 236 | current status of the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,238,f43c3 | 237 | age at the 3rd marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,239,f43c4 | 238 | quality of the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,241,f43d1 | 240 | age at the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,242,f43d2 | 241 | current status of the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,243,f43d3 | 242 | age at the latest marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,244,f43d4 | 243 | quality of the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,246,f44 | 245 | years of schooling of the latest spouse | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,248,f45 | 247 | main occupation of the latest spouse before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,254,f62 | 253 | got adequate medical service at around age 80 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,256,f63 | 255 | got adequate medical service at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,264,f72 | 263 | mother's age if alive or mother's age at death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,266,f73 | 265 | respondent's age at mother's death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,270,f82 | 269 | father's age if alive or father's age at death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,272,f83 | 271 | respondent's age at father's death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,274,f84 | 273 | father's main occupation before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,278,f91 | 277 | birth order of respondent | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,280,f92a1 | 279 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,283,"f92a4 | 282 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,287,f92b1 | 286 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,290,"f92b4 | 289 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,294,f92c1 | 293 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,297,"f92c4 | 296 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,301,f92d1 | 300 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,304,"f92d4 | 303 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,308,f92e1 | 307 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,311,"f92e4 | 310 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,315,f92f1 | 314 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,318,"f92f4 | 317 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,322,f92g1 | 321 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,325,"f92g4 | 324 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,329,f92h1 | 328 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,332,"f92h4 | 331 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,336,f92i1 | 335 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,339,"f92i4 | 338 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,343,f92j1 | 342 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,346,"f92j4 | 345 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,350,f92k1 | 349 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,353,"f92k4 | 352 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,357,f92l1 | 356 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,360,"f92l4 | 359 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,364,f92m1 | 363 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,367,"f92m4 | 366 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,371,f92n1 | 370 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,374,"f92n4 | 373 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,378,f92o1 | 377 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,381,"f92o4 | 380 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,389,"f101a3 | 388 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,395,"f101b3 | 394 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,401,"f101c3 | 400 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,407,"f101d3 | 406 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,413,"f101e3 | 412 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,419,"f101f3 | 418 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_1_row,425,"f101g3 | 424 | child's age at present if alive, or the age the child would be if s/he were stil | Ordinal | F8"
